seed,sample,ranking_score
1,0,0.7552065038637606
1,1,0.7677222353422107
1,2,0.7827152919955114
1,3,0.7649993409745424
1,4,0.7886602074346366
2,0,0.7656796521930205
2,1,0.7600975158891452
2,2,0.772300315855916
2,3,0.763485787272394
2,4,0.7577225137488189
3,0,0.7807866936591693
3,1,0.7704562932711184
3,2,0.7738227649034197
3,3,0.7646999254639414
3,4,0.769811380084991
4,0,0.7768314732609037
4,1,0.7779637075438962
4,2,0.7773307263006243
4,3,0.7719279824848356
4,4,0.7710108360976279
5,0,0.7513801091870145
5,1,0.7709087586083251
5,2,0.7740703632456664
5,3,0.7754966531563668
5,4,0.7697983746106529
