seed,sample,ranking_score
1,0,0.7719711471733018
1,1,0.7664900633172224
1,2,0.7626873836729542
1,3,0.7583436660453817
1,4,0.7653081220862618
2,0,0.7577033618244055
2,1,0.7707645802833551
2,2,0.7572305575827479
2,3,0.770055499256191
2,4,0.7663785397154907
3,0,0.75872646926026
3,1,0.759610539259221
3,2,0.7602959367119231
3,3,0.7690627772748289
3,4,0.7638938730768627
4,0,0.7631838893704674
4,1,0.7646158270516124
4,2,0.7731042308080823
4,3,0.7654212560068129
4,4,0.7659354162689694
5,0,0.761387975263768
5,1,0.7656133177356929
5,2,0.770087885771063
5,3,0.7710661109094068
5,4,0.763229884288014
