seed,sample,ranking_score
1,0,0.8131725860764772
1,1,0.828304978080831
1,2,0.8149697817204801
1,3,0.819838858353733
1,4,0.817848197809529
2,0,0.8188591285158637
2,1,0.8015943569115644
2,2,0.8141049654317556
2,3,0.796963599956945
2,4,0.8182634127778
3,0,0.8228737993647116
3,1,0.823842735954726
3,2,0.8217416174297197
3,3,0.807638091360935
3,4,0.8108099790897911
4,0,0.8198037490548913
4,1,0.8243365684880843
4,2,0.8204454371584771
4,3,0.8356805196739955
4,4,0.8249613288725549
5,0,0.8207971145367877
5,1,0.815022829854326
5,2,0.8103600888790836
5,3,0.8187765336626153
5,4,0.8268341611287078
